id,song_played,time_played,user_id,user_sign_up_date,user_state
GOQMMKSQQH,Hey Jude,2015-06-11 21:51:35,122,2015-05-16,Louisiana
HWKKBQKNWI,We Can Work It Out,2015-06-06 16:49:19,3,2015-05-01,Ohio
DKQSXVNJDH,Back In the U.S.S.R.,2015-06-14 02:11:29,35,2015-05-04,New Jersey
HLHRIDQTUW,P.s. I Love You,2015-06-08 12:26:10,126,2015-05-16,Illinois
SUKJCSBCYW,Sgt. Pepper's Lonely Hearts Club Band,2015-06-28 14:57:00,6,2015-05-01,New Jersey
XYDGPXHKLI,Sgt. Pepper Inner Groove,2015-06-28 08:25:26,147,2015-05-18,Texas
AYGDQROZIX,Hello Goodbye,2015-06-21 21:18:53,155,2015-05-19,Texas
RRRQYKTPNV,Cry For A Shadow,2015-06-05 08:29:21,171,2015-05-19,Illinois
HZICITYVPP,Revolution,2015-06-14 04:55:17,174,2015-05-19,Rhode Island
UYDPDSBKOY,Let It Be,2015-06-15 15:49:59,170,2015-05-19,Oregon
IJHDFKTVKH,I Feel Fine,2015-06-27 23:40:06,110,2015-05-14,California
PRPCEHTJFO,Hello Goodbye,2015-06-03 07:02:26,185,2015-05-20,New York
NTFUTXNDNC,The Fool On The Hill,2015-06-07 07:28:21,137,2015-05-17,Wisconsin
QZZQYPCDHF,Get Back,2015-06-25 05:27:55,121,2015-05-16,California
UOMHRQZOYE,Revolution,2015-06-19 10:36:29,77,2015-05-08,New York
EGOXQUIGOB,Let It Be,2015-06-12 19:37:33,79,2015-05-09,Tennessee
XHWGLOWDHB,Come Together,2015-06-22 09:44:05,58,2015-05-07,Maryland
JBNLQIQQOM,Come Together,2015-06-05 17:12:34,130,2015-05-16,Michigan
FDYRTNRNLB,She Loves You,2015-06-05 18:46:03,11,2015-05-02,Pennsylvania
YBZPEHNRFI,Let It Be,2015-06-12 16:53:37,99,2015-05-12,Illinois
YHACRZVBQH,Hey Jude,2015-06-13 09:06:55,150,2015-05-18,Oregon
ZZBRVFTOGB,Back In the U.S.S.R.,2015-06-18 05:26:38,114,2015-05-14,Pennsylvania
GNWEDZFGFL,Get Back,2015-06-13 22:40:20,97,2015-05-12,California
IQPQVKVDIR,Let It Be,2015-06-19 15:43:44,159,2015-05-19,California
RJAXELQHQP,Come Together,2015-06-25 12:23:05,85,2015-05-09,Missouri
GHDLFCTXPY,We Can Work It Out,2015-06-15 13:53:01,31,2015-05-04,Michigan
RJBVBECGEB,Come Together,2015-06-20 17:15:18,18,2015-05-02,Maryland
WZEGXTHYUI,Back In the U.S.S.R.,2015-06-03 09:57:02,188,2015-05-20,New York
AGCSUQELPS,While My Guitar Gently Weeps,2015-06-14 17:14:24,138,2015-05-17,Alabama
SQWUGFAQOM,Hello Goodbye,2015-06-07 17:23:58,182,2015-05-20,Oklahoma
USFKNGLTCM,Here Comes The Sun,2015-06-28 10:54:16,42,2015-05-04,New York
WBWDVRQNGO,A Day In The Life,2015-06-09 11:28:01,175,2015-05-19,Washington
KOEKFUHKWX,Getting Better,2015-06-05 13:22:04,115,2015-05-15,New Jersey
EIODCPYXVZ,Baby You're A Rich Man,2015-06-17 01:00:33,165,2015-05-19,Idaho
ZEZWDBCCTH,Let It Be,2015-06-18 19:55:04,99,2015-05-12,Illinois
XURMATLQNX,We Can Work It Out,2015-06-23 17:29:57,162,2015-05-19,Tennessee
CXZUEBPMDD,Revolution,2015-06-22 16:13:10,184,2015-05-20,Wisconsin
GKAVROKGKZ,The Ballad Of John And Yoko,2015-06-27 08:22:24,34,2015-05-04,Kentucky
TAKIBUCPMP,Come Together,2015-06-02 11:49:49,46,2015-05-06,Pennsylvania
DJKMELWBXT,Lucy In The Sky With Diamonds,2015-06-15 17:53:25,72,2015-05-08,California
TPWYXPTMKI,Don't Let Me Down,2015-06-11 12:22:59,124,2015-05-16,Arkansas
